taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
ssp,u972,Indo-Pacific White Tern,,5a/b,,,5a/b,Non-taxonomic change - scientific and common names
sp,125,Silver Gull,5a,3b,5a,Non-taxonomic change - scientific name ,3b,Subspecies split - parapatric
ssp,u125,Australian Silver Gull,5a,,5a,Non-taxonomic change - scientific name ,,
sp,126,Pacific Gull,,,,,,
ssp,u126a,West Coast Pacific Gull,,,,,,
ssp,u126b,East Coast Pacific Gull,,,,,,
sp,981,Kelp Gull,,,,,,
ssp,u981a,Southern Atlantic-Pacific Kelp Gull,3c,4c,3c,Subspecies split - indeterminate/unknown,4c,Subspecies lump - indeterminate/unknown
ssp,u981b,Indian Ocean Kelp Gull,3c,,3c,Subspecies split - indeterminate/unknown,,
sp,120,Sooty Tern,,,,,,
ssp,u120a,Indian Ocean Sooty Tern,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u120b,Pacific Sooty Tern,5a,,5a,Non-taxonomic change - scientific name ,,
sp,121,Bridled Tern,,,,,,
ssp,u121a,Indo-Pacific Bridled Tern,,,,,,
sp,117,Little Tern,,,,,,
ssp,u117a,Tasman Little Tern,3a,,3a,Subspecies split - allopatric,,
ssp,u117b,Indo-Pacific Little Tern,3a,,3a,Subspecies split - allopatric,,
sp,118,Fairy Tern,,,,,,
ssp,u118a,New Caledonian Fairy Tern,3a,,3a,Subspecies split - allopatric,,
ssp,u118b,Australian Fairy Tern,3a,,3a,Subspecies split - allopatric,,
sp,111,Common Gull-billed Tern,,,,,,
ssp,u111,Asian Gull-billed Tern,,,,,,
sp,u8794,Australian Gull-billed Tern,,,,,,
sp,u112,Caspian Tern,,,,,,
sp,110,Whiskered Tern,,,,,,
ssp,u110,Eastern Whiskered Tern,,,,,,
sp,u109,White-winged Black Tern,,,,,,
sp,113,Roseate Tern,,,,,,
ssp,u113a,Australasian Roseate Tern,,,,,,
sp,114,White-fronted Tern,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u114a,Furneaux White-fronted Tern,3a,,3a,Subspecies split - allopatric,,
ssp,u114b,New Zealand White-fronted Tern,3a,,3a,Subspecies split - allopatric,,
sp,119,Black-naped Tern,,,,,,
ssp,u119,Australasian Black-naped Tern,,,,,,
sp,953,Common Tern,,,,,,
ssp,u953b,Siberian Common Tern,,,,,,
sp,985,Antarctic Tern,,,,,,
ssp,u985a,New Zealand Antarctic Tern,,,,,,
ssp,u985b,Indian Ocean Antarctic Tern,,,,,,
sp,116,Lesser Crested Tern,,,,,,
ssp,u116,Eastern Lesser Crested Tern,,,,,,
sp,u115,Greater Crested Tern,4a,,4a,Subspecies lump - allopatric,,
sp,933,Long-tailed Jaeger,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u933,Arctic Long-tailed Jaeger,3c,,3c,Subspecies split - indeterminate/unknown,,
sp,u128,Arctic Jaeger,,,,,,
sp,u945,Pomarine Jaeger,,,,,,
sp,127,Brown Skua,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u127,Subantarctic Brown Skua,5a,,5a,Non-taxonomic change - scientific name ,,
sp,252,Eastern Grass Owl,,,,,,
ssp,u252,Australian Eastern Grass Owl,,,,,,
sp,253,Sooty Owl,5c,2a,5c,Non-taxonomic change - taxon_id,2a,Species lump - allopatric
ssp,u253a,Greater Sooty Owl,3a,2a,3a,Subspecies split - allopatric,2a,Species lump - allopatric
sp,u253b,Lesser Sooty Owl,,2a,,,2a,Species lump - allopatric
sp,250,Masked Owl,,,,,,
ssp,u250a,Tasmanian Masked Owl,,,,,,
ssp,u250f,Cape York Masked Owl,3a,,3a,Subspecies split - allopatric,,
ssp,u250c,Northern Masked Owl,3a,,3a,Subspecies split - allopatric,,
ssp,u250d,Tiwi Masked Owl,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u250e,Southern Masked Owl,5c,,5c,Non-taxonomic change - taxon_id,,
sp,249,Eastern Barn Owl,,1a,,,1a,Species split - allopatric
ssp,u249,Barn Owl ssp.,,1a,,,1a,Species split - allopatric
sp,247,Rufous Owl,,,,,,
ssp,u247a,Cape York Rufous Owl,,,,,,
ssp,u247b,Eastern Rufous Owl,,,,,,
ssp,u247c,North-western Rufous Owl,,,,,,
sp,u248,Powerful Owl,,,,,,
sp,246,Barking Owl,,,,,,
ssp,u246a,Papuan Barking Owl,,,,,,
ssp,u246b,Southern Barking Owl,,,,,,
ssp,u246c,Northern Barking Owl,,,,,,
sp,242,Southern Boobook,,,,,,
ssp,u242a,South-eastern Boobook,4a,,4a,Subspecies lump - allopatric,,
ssp,u242b,Red Boobook,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u242c,Western Boobook,5c,,5c,Non-taxonomic change - taxon_id,,
sp,u8741,Tasmanian Boobook,5c,,5c,Non-taxonomic change - taxon_id,,
sp,9922,Tasman Morepork,5b,,5b,Non-taxonomic change - common name ,,
ssp,u9922a,Lord Howe Morepork,5b,,5b,Non-taxonomic change - common name ,,
ssp,u9922b,Norfolk Island Morepork,5b,,5b,Non-taxonomic change - common name ,,
sp,u807,Christmas Island Boobook,5b,,5b,Non-taxonomic change - common name ,,
sp,241,Osprey,,,,,,
ssp,u241a,Eastern Osprey,,,,,,
sp,u232,Black-shouldered Kite,,,,,,
sp,u233,Letter-winged Kite,,,,,,
sp,u231,Black-breasted Buzzard,,,,,,
sp,u230,Square-tailed Kite,,,,,,
sp,234,Pacific Baza,,,,,,
ssp,u234,Australian Pacific Baza,,,,,,
sp,224,Wedge-tailed Eagle,,,,,,
ssp,u224a,Mainland Wedge-tailed Eagle,,,,,,
ssp,u224b,Tasmanian Wedge-tailed Eagle,,,,,,
sp,u225,Little Eagle,,,,,,
sp,u219,Swamp Harrier,5c,,5c,Non-taxonomic change - taxon_id,,
sp,u218,Spotted Harrier,,,,,,
sp,u220,Grey Goshawk,,,,,,
sp,221,Brown Goshawk,,,,,,
ssp,u221a,Northern Brown Goshawk,,,,,,
ssp,u221b,Papuan Brown Goshawk,,,,,,
ssp,u221c,Southern Brown Goshawk,,,,,,
ssp,u221d,Christmas Island Goshawk,,,,,,
sp,222,Collared Sparrowhawk,,,,,,
ssp,u222,Australian Collared Sparrowhawk,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u223,Red Goshawk,,,,,,
sp,u226,White-bellied Sea-Eagle,,,,,,
sp,u228,Whistling Kite,,,,,,
sp,227,Brahminy Kite,,,,,,
ssp,u227,Torresian Brahminy Kite,,,,,,
sp,229,Black Kite,,,,,,
ssp,u229,Torresian Black Kite,,,,,,
sp,u329,Rainbow Bee-eater,,,,,,
sp,318,Oriental Dollarbird,5b,,5b,Non-taxonomic change - common name ,,
ssp,u318,Eastern Dollarbird,,,,,,
sp,320,Little Kingfisher,,,,,,
ssp,u320a,Eastern Little Kingfisher,,,,,,
ssp,u320b,Papuan Little Kingfisher,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u320c,Western Little Kingfisher,,,,,,
sp,319,Azure Kingfisher,,,,,,
ssp,u319a,Southern Azure Kingfisher,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u319b,Tasmanian Azure Kingfisher,,,,,,
ssp,u319c,Northern Azure Kingfisher,,,,,,
sp,321,Yellow-billed Kingfisher,,,,,,
ssp,u321,Australian Yellow-billed Kingfisher,,,,,,
sp,324,Forest Kingfisher,,,,,,
ssp,u324a,Eastern Forest Kingfisher,,,,,,
ssp,u324b,Top End Forest Kingfisher,,,,,,
sp,327,Torresian Kingfisher,,1a,,,1a,Species split - allopatric
ssp,u327a,South-eastern Torresian Kingfisher,,5b,,,5b,Non-taxonomic change - common name 
ssp,u327b,Pilbara Torresian Kingfisher,,5b,,,5b,Non-taxonomic change - common name 
ssp,u327c,Northern Torresian Kingfisher,,5b,,,5b,Non-taxonomic change - common name 
sp,326,Sacred Kingfisher,,,,,,
ssp,u326b,Australian Sacred Kingfisher,,,,,,
ssp,u326c,Tasman Sacred Kingfisher,4a,,4a,Subspecies lump - allopatric,,
sp,u325,Red-backed Kingfisher,,,,,,
sp,328,Buff-breasted Paradise-Kingfisher,,,,,,
ssp,u328,Australian Buff-breasted Paradise-Kingfisher,,,,,,
sp,322,Laughing Kookaburra,,,,,,
ssp,u322a,Cape York Laughing Kookaburra,,,,,,
ssp,u322b,Southern Laughing Kookaburra,,,,,,
sp,323,Blue-winged Kookaburra,,,,,,
ssp,u323c,Tiwi Blue-winged Kookaburra,3a,,3a,Subspecies split - allopatric,,
ssp,u323a,Northern Blue-winged Kookaburra,3a,,3a,Subspecies split - allopatric,,
ssp,u323b,Pilbara Blue-winged Kookaburra,,,,,,
sp,240,Nankeen Kestrel,,,,,,
ssp,u240,Australasian Nankeen Kestrel,,,,,,
sp,235,Australian Hobby,,,,,,
ssp,u235a,Southern Australian Hobby,,,,,,
ssp,u235b,Inland Australian Hobby,,,,,,
sp,239,Brown Falcon,,,,,,
ssp,u239,Australian Brown Falcon,3a,3c,3a,Subspecies split - allopatric,3c,Subspecies split - indeterminate/unknown
sp,u236,Grey Falcon,,,,,,
sp,u238,Black Falcon,,,,,,
sp,237,Peregrine Falcon,,,,,,
ssp,u237a,Australian Peregrine Falcon,3b,,3b,Subspecies split - parapatric,,
sp,u742,Norfolk Island Kaka,,,,,,
sp,u274,Cockatiel,,,,,,
sp,264,Red-tailed Black-Cockatoo,,,,,,
ssp,u264a,Northern Red-tailed Black-Cockatoo,4a,,4a,Subspecies lump - allopatric,,
ssp,u264b,South-eastern Red-tailed Black-Cockatoo,,,,,,
ssp,u264d,Forest Red-tailed Black-Cockatoo,,,,,,
ssp,u264e,Inland Red-tailed Black-Cockatoo,3a,,3a,Subspecies split - allopatric,,
ssp,u264f,Western Red-tailed Black-Cockatoo,3a,,3a,Subspecies split - allopatric,,
sp,265,Glossy Black-Cockatoo,,,,,,
ssp,u265a,Capricorn Glossy Black-Cockatoo,,,,,,
ssp,u265b,Kangaroo Island Glossy Black-Cockatoo,,,,,,
ssp,u265c,South-eastern Glossy Black-Cockatoo,,,,,,
sp,267,Yellow-tailed Black-Cockatoo,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u267a,Eastern Yellow-tailed Black-Cockatoo,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u267b,Western Yellow-tailed Black-Cockatoo,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u267c,Tasmanian Yellow-tailed Black-Cockatoo,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u266,Baudin's Black-Cockatoo,,,,,,
sp,u794,Carnaby's Black-Cockatoo,,,,,,
sp,263,Palm Cockatoo,,,,,,
ssp,u263,Australian Palm Cockatoo,,,,,,
sp,u268,Gang-gang Cockatoo,,,,,,
sp,273,Galah,,,,,,
ssp,u273a,Eastern Galah,,,,,,
ssp,u273b,Northern Galah,,,,,,
ssp,u273c,Western Galah,5a,,5a,Non-taxonomic change - scientific name ,,
sp,270,Pink Cockatoo,,,,,,
ssp,u270a,Eastern Pink Cockatoo,,,,,,
ssp,u270b,Western Pink Cockatoo,,,,,,
sp,u272,Long-billed Corella,,,,,,
sp,795,Western Corella,,,,,,
ssp,u795a,Butler's Corella,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u795b,Muir's Corella,,,,,,
sp,271,Little Corella,,,,,,
ssp,u271a,Eastern Little Corella,,,,,,
ssp,u271b,Cape York Little Corella,,,,,,
ssp,u271c,Northern Little Corella,3b,,3b,Subspecies split - parapatric,,
ssp,u271d,Westralensis Little Corella,3b,,3b,Subspecies split - parapatric,,
sp,269,Sulphur-crested Cockatoo,,,,,,
ssp,u269a,Northern Sulphur-crested Cockatoo,,,,,,
ssp,u269b,Eastern Sulphur-crested Cockatoo,,,,,,
sp,295,Red-rumped Parrot,,,,,,
ssp,u295a,Lake Eyre Basin Red-rumped Parrot,,,,,,
ssp,u295b,South-eastern Red-rumped Parrot,,,,,,
sp,297,Bluebonnet,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u297a,Yellow-vented Bluebonnet,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u297b,Red-vented Bluebonnet,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u297d,Pallid Bluebonnet,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u5153,Naretha Bluebonnet,5a,1a,5a,Non-taxonomic change - scientific name ,1a,Species split - allopatric
sp,u296,Mulga Parrot,,,,,,
sp,u301,Hooded Parrot,,,,,,
sp,u300,Golden-shouldered Parrot,,,,,,
sp,u299,Paradise Parrot,,,,,,
sp,u290,Red-capped Parrot,,,,,,
sp,285,Green Rosella,,,,,,
ssp,u285a,King Island Green Rosella,,,,,,
ssp,u285b,Tasmanian Green Rosella,,,,,,
sp,282,Crimson Rosella,,,,,,
ssp,u282a,South-eastern Crimson Rosella,,,,,,
ssp,u282b,Eungella Crimson Rosella,2a,,2a,Species lump - allopatric,,
ssp,u282c,Yellow Rosella,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u282d,Fleurieu Adelaide Rosella,5b,,5b,Non-taxonomic change - common name ,,
ssp,u282e,Kangaroo Island Crimson Rosella,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u282f,Wet Tropics Crimson Rosella,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u282g,Flinders Adelaide Rosella,5b,,5b,Non-taxonomic change - common name ,,
sp,287,Northern Rosella,,,,,,
ssp,u287a,Kimberley Northern Rosella,,,,,,
ssp,u287b,Top End Northern Rosella,,,,,,
sp,286,Pale-headed Rosella,,,,,,
ssp,u286a,Cape York Pale-headed Rosella,,,,,,
ssp,u286b,Southern Pale-headed Rosella,,,,,,
sp,288,Eastern Rosella,,,,,,
ssp,u288a,Tasmanian Eastern Rosella,,,,,,
ssp,u288b,Golden-mantled Rosella,,,,,,
ssp,u288c,South-east Eastern Rosella,,,,,,
sp,289,Western Rosella,,,,,,
ssp,u289a,South-west Western Rosella,,,,,,
ssp,u289b,Inland Western Rosella,,,,,,
sp,294,Australian Ringneck,,,,,,
ssp,u294a,Mallee Ringneck,,,,,,
ssp,u294b,Cloncurry Ringneck,,,,,,
ssp,u294e,Innamincka Ringneck,3a,,3a,Subspecies split - allopatric,,
ssp,u294c,Twenty-eight Parrot,,,,,,
ssp,u294d,Port Lincoln Parrot,,,,,,
sp,u309,Swift Parrot,,,,,,
sp,808,Red-fronted Parakeet,,1a,,,1a,Species split - allopatric
ssp,u808,Macquarie Island Red-fronted Parakeet,,1a,,,1a,Species split - allopatric
sp,5156,Tasman Parakeet,,1a,,,1a,Species split - allopatric
ssp,u5156a,Norfolk Island Green Parrot,,5a,,,5a,Non-taxonomic change - scientific name 
ssp,u5156b,Lord Howe Parakeet,,1a,,,1a,Species split - allopatric
sp,311,Ground Parrot,,,,,,
ssp,u311a,Western Ground Parrot,,,,,,
ssp,u311b,Tasmanian Ground Parrot,,,,,,
ssp,u311c,Eastern Ground Parrot,5b,,5b,Non-taxonomic change - common name ,,
sp,u312,Night Parrot,,,,,,
sp,u304,Bourke's Parrot,,,,,,
sp,u306,Blue-winged Parrot,,,,,,
sp,307,Elegant Parrot,4a,,4a,Subspecies lump - allopatric,,
ssp,u307a,Western Elegant Parrot,,4a,,,4a,Subspecies lump - allopatric
ssp,u307b,Eastern Elegant Parrot,,4a,,,4a,Subspecies lump - allopatric
sp,308,Rock Parrot,4a,,4a,Subspecies lump - allopatric,,
ssp,u308a,Western Rock Parrot,,4a,,,4a,Subspecies lump - allopatric
ssp,u308b,Eastern Rock Parrot,,4a,,,4a,Subspecies lump - allopatric
sp,u305,Orange-bellied Parrot,,,,,,
sp,u302,Turquoise Parrot,,,,,,
sp,u303,Scarlet-chested Parrot,,,,,,
sp,258,Musk Lorikeet,,,,,,
ssp,u258a,South-eastern Musk Lorikeet,,,,,,
ssp,u258b,Tasmanian Musk Lorikeet,,,,,,
sp,u260,Little Lorikeet,,,,,,
sp,u259,Purple-crowned Lorikeet,,,,,,
sp,u257,Varied Lorikeet,,,,,,
sp,9947,Coconut Lorikeet,,,,,,
ssp,u9947,Arafura Coconut Lorikeet,,5a,,,5a,Non-taxonomic change - scientific name 
sp,254,Rainbow Lorikeet,,,,,,
ssp,u254a,Eastern Rainbow Lorikeet,4b,,4b,Subspecies lump - parapatric,,
ssp,u254b,Cape York Rainbow Lorikeet,5c,,5c,Non-taxonomic change - taxon_id,,
sp,u255,Red-collared Lorikeet,,,,,,
sp,u256,Scaly-breasted Lorikeet,,,,,,
sp,u310,Budgerigar,,,,,,
sp,261,Double-eyed Fig-Parrot,,,,,,
ssp,u261a,Macleay's Fig-Parrot,,,,,,
ssp,u261b,Marshall's Fig-Parrot,,,,,,
ssp,u261c,Coxen's Fig-Parrot,,2a,,,2a,Species lump - allopatric
sp,u277,Superb Parrot,,,,,,
sp,278,Regent Parrot,,,,,,
ssp,u278a,Western Regent Parrot,,,,,,
ssp,u278b,Eastern Regent Parrot,,,,,,
sp,u279,Princess Parrot,,,,,,
sp,281,Australian King-Parrot,,,,,,
ssp,u281a,Wet Tropics Australian King-Parrot,,,,,,
ssp,u281b,Southern Australian King-Parrot,,,,,,
sp,280,Red-winged Parrot,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u280a,Northern Red-winged Parrot,4b,,4b,Subspecies lump - parapatric,,
ssp,u280b,Eastern Red-winged Parrot,4b,,4b,Subspecies lump - parapatric,,
sp,275,Eclectus Parrot,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u275a,Cape York Eclectus Parrot,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u275b,Papuan Eclectus Parrot,5a,,5a,Non-taxonomic change - scientific name ,,
sp,276,Red-cheeked Parrot,,,,,,
ssp,u276a,Papuan Red-cheeked Parrot,,,,,,
ssp,u276b,Cape York Red-cheeked Parrot,,,,,,
sp,353,Papuan Pitta,,,,,,
ssp,u353,Torresian Papuan Pitta,4a,,4a,Subspecies lump - allopatric,,
sp,352,Noisy Pitta,,,,,,
ssp,u352a,Central Queensland Noisy Pitta,,4a,,,4a,Subspecies lump - allopatric
ssp,u352b,Cape York Noisy Pitta,4b,4a,4b,Subspecies lump - parapatric,4a,Subspecies lump - allopatric
ssp,u352c,Central East Coast Noisy Pitta,4b,4a,4b,Subspecies lump - parapatric,4a,Subspecies lump - allopatric
sp,354,Rainbow Pitta,,,,,,
ssp,u354a,Top End Rainbow Pitta,,,,,,
ssp,u354b,Kimberley Rainbow Pitta,,,,,,
sp,u351,Albert's Lyrebird,,,,,,
sp,350,Superb Lyrebird,,,,,,
ssp,u350a,Northern Superb Lyrebird,,,,,,
ssp,u350b,Central Superb Lyrebird,,,,,,
ssp,u350c,Southern Superb Lyrebird,,,,,,
sp,355,Rufous Scrub-bird,,,,,,
ssp,u355a,Southern Rufous Scrub-bird,,,,,,
ssp,u355b,Northern Rufous Scrub-bird,,,,,,
sp,u356,Noisy Scrub-bird,,,,,,
sp,u677,Black-eared Catbird,5b,,5b,Non-taxonomic change - common name ,,
sp,u5151,Spotted Catbird,5b,,5b,Non-taxonomic change - common name ,,
sp,u676,Green Catbird,,,,,,
sp,u678,Tooth-billed Bowerbird,,,,,,
sp,u685,Golden Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u684,Regent Bowerbird,,,,,,
sp,679,Satin Bowerbird,,,,,,
ssp,u679a,Wet Tropics Satin Bowerbird,,,,,,
ssp,u679b,Southern Satin Bowerbird,,,,,,
sp,u680,Spotted Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
sp,681,Western Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u681a,North-west Cape Western Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u681b,Inland Western Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
sp,683,Great Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u683a,Western Great Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u683b,Eastern Great Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u682,Fawn-breasted Bowerbird,5a,,5a,Non-taxonomic change - scientific name ,,
sp,558,White-throated Treecreeper,,,,,,
ssp,u558a,Mount Lofty Ranges White-throated Treecreeper,,,,,,
ssp,u558b,Eungella White-throated Treecreeper,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u558c,South-eastern White-throated Treecreeper,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u558d,Central Eastern White-throated Treecreeper,,,,,,
ssp,u558e,Little Treecreeper,5b,,5b,Non-taxonomic change - common name ,,
sp,u560,Red-browed Treecreeper,,,,,,
sp,561,White-browed Treecreeper,,,,,,
ssp,u561a,Western White-browed Treecreeper,,,,,,
ssp,u561b,Eastern White-browed Treecreeper,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u556,Rufous Treecreeper,,,,,,
sp,555,Brown Treecreeper,,,,,,
ssp,u555a,Cape York Brown Treecreeper,,,,,,
ssp,u555b,North-eastern Brown Treecreeper,,,,,,
ssp,u555c,South-eastern Brown Treecreeper,,,,,,
sp,562,Black-tailed Treecreeper,,,,,,
ssp,u562a,Northern Black-tailed Treecreeper,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u562b,Pilbara Black-tailed Treecreeper,5a,,5a,Non-taxonomic change - scientific name ,,
sp,542,Purple-crowned Fairy-wren,,,,,,
ssp,u542a,Western Purple-crowned Fairy-wren,,,,,,
ssp,u542b,Eastern Purple-crowned Fairy-wren,,,,,,
sp,u538,Red-winged Fairy-wren,,,,,,
sp,u540,Blue-breasted Fairy-wren,,,,,,
sp,u539,Lovely Fairy-wren,,,,,,
sp,536,Purple-backed Fairy-wren,1b,,1b,Species split - parapatric,,
ssp,u536b,Shark Bay Purple-backed Fairy-wren,5a/b,,5a/b,Non-taxonomic change - scientific and common names,,
ssp,u536c,Top End Lavender-flanked Fairy-wren,5a/b,,5a/b,Non-taxonomic change - scientific and common names,,
ssp,u536d,Inland Purple-backed Fairy-wren,5a/b,,5a/b,Non-taxonomic change - scientific and common names,,
ssp,u536e,Kimberley Lavender-flanked Fairy-wren,5a/b,,5a/b,Non-taxonomic change - scientific and common names,,
sp,u5124,Variegated Fairy-wren,1b,,1b,Species split - parapatric,,
sp,529,Superb Fairy-wren,,,,,,
ssp,u529a,Kangaroo Island Superb Fairy-wren,,,,,,
ssp,u529b,Tasmanian Superb Fairy-wren,,,,,,
ssp,u529c,Northern Superb Fairy-wren,,,,,,
ssp,u529d,King Island Superb Fairy-wren,,,,,,
ssp,u529e,South Australian Superb Fairy-wren,,,,,,
ssp,u529f,Flinders Island Superb Fairy-wren,,,,,,
sp,532,Splendid Fairy-wren,,,,,,
ssp,u532a,Channel Country Splendid Fairy-wren,,,,,,
ssp,u532b,Black-backed Fairy-wren,5b,,5b,Non-taxonomic change - common name ,,
ssp,u532c,Turquoise Fairy-wren,5a/b,,5a/b,Non-taxonomic change - scientific and common names,,
ssp,u532d,Western Splendid Fairy-wren,,,,,,
sp,541,Red-backed Fairy-wren,,,,,,
ssp,u541a,Northern Red-backed Fairy-wren,,,,,,
ssp,u541b,Eastern Red-backed Fairy-wren,,,,,,
sp,535,White-winged Fairy-wren,,,,,,
ssp,u535a,Barrow Island White-winged Fairy-wren,,,,,,
ssp,u535b,Mainland White-winged Fairy-wren,,,,,,
ssp,u535c,Dirk Hartog White-winged Fairy-wren,,,,,,
sp,526,Southern Emu-wren,,,,,,
ssp,u526a,Kangaroo Island Southern Emu-wren,,,,,,
ssp,u526b,Dirk Hartog Southern Emu-wren,5b,,5b,Non-taxonomic change - common name ,,
ssp,u526c,Mount Lofty Ranges Southern Emu-wren,5b,,5b,Non-taxonomic change - common name ,,
ssp,u526d,Tasmanian Southern Emu-wren,,,,,,
ssp,u526e,East Coast Southern Emu-wren,,,,,,
ssp,u526f,Eyre Peninsula Southern Emu-wren,,,,,,
ssp,u526g,Glenelg Southern Emu-wren,,,,,,
ssp,u526h,West Coast Southern Emu-wren,,,,,,
sp,u527,Mallee Emu-wren,,,,,,
sp,u528,Rufous-crowned Emu-wren,,,,,,
sp,871,Grey Grasswren,,,,,,
ssp,u871a,Bulloo Grey Grasswren,,,,,,
ssp,u871b,Diamantina Grey Grasswren,,,,,,
sp,u516,White-throated Grasswren,,,,,,
sp,u517,Carpentarian Grasswren,,,,,,
sp,5150,Pilbara Grasswren,,1a,,,1a,Species split - allopatric
ssp,u5150a,Pilbara Ranges Grasswren,5b,1a,5b,Non-taxonomic change - common name ,1a,Species split - allopatric
ssp,u5150b,Cape Range Grasswren,3a,1a,3a,Subspecies split - allopatric,1a,Species split - allopatric
sp,5149,Sandhill Grasswren,,1a,,,1a,Species split - allopatric
ssp,u5149a,Sandhill Rufous Grasswren,5b,1a,5b,Non-taxonomic change - common name ,1a,Species split - allopatric
ssp,u5149b,Yellabinna Rufous Grasswren,3a,1a,3a,Subspecies split - allopatric,1a,Species split - allopatric
sp,u5148,Opalton Grasswren,5b,1a,5b,Non-taxonomic change - common name ,1a,Species split - allopatric
sp,513,Striated Grasswren,,1a,,,1a,Species split - allopatric
ssp,u513a,Mukarrthippi Grasswren,3a,,3a,Subspecies split - allopatric,,
ssp,u513b,Murray Mallee Striated Grasswren,3a,,3a,Subspecies split - allopatric,,
sp,735,Short-tailed Grasswren,,,,,,
ssp,u735a,Flinders Ranges Short-tailed Grasswren,,,,,,
ssp,u735b,Gawler Ranges Short-tailed Grasswren,,,,,,
sp,u518,Black Grasswren,,,,,,
sp,u515,Eyrean Grasswren,,,,,,
sp,u708,Kalkadoon Grasswren,,,,,,
sp,u511,Dusky Grasswren,,,,,,
sp,512,Western Grasswren,,,,,,
ssp,u512c,Dirk Hartog Western Grasswren,,,,,,
ssp,u512d,Murchison Western Grasswren,,,,,,
ssp,u512e,Large-tailed Western Grasswren,,,,,,
ssp,u512a,Eyre Peninsula Western Grasswren,,,,,,
ssp,u512b,Shark Bay Western Grasswren,,,,,,
sp,8022,Thick-billed Grasswren,,,,,,
ssp,u8022g,Cowarie Thick-billed Grasswren,3a,,3a,Subspecies split - allopatric,,
ssp,u8022f,Lake Frome Thick-billed Grasswren,,,,,,
ssp,u8022b,Western Thick-billed Grasswren,,,,,,
ssp,u8022d,Eastern Thick-billed Grasswren,,,,,,
ssp,u8022a,MacDonnell Ranges Thick-billed Grasswren,,,,,,
ssp,u8022c,Grey Range Thick-billed Grasswren,,,,,,
ssp,u8022e,Flinders Ranges Thick-billed Grasswren,,,,,,
sp,519,Eastern Bristlebird,,,,,,
ssp,u519a,Southern Eastern Bristlebird,,,,,,
ssp,u519b,Northern Eastern Bristlebird,,,,,,
sp,u520,Western Bristlebird,,,,,,
sp,521,Rufous Bristlebird,,,,,,
ssp,u521a,Coorong Rufous Bristlebird,,,,,,
ssp,u521b,Otways Rufous Bristlebird,,,,,,
ssp,u521c,Western Rufous Bristlebird,,,,,,
sp,u588,Banded Honeyeater,,,,,,
sp,u627,White-streaked Honeyeater,,,,,,
sp,630,Crescent Honeyeater,,,,,,
ssp,u630a,South Australian Crescent Honeyeater,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u630b,Eastern Crescent Honeyeater,,,,,,
sp,632,White-cheeked Honeyeater,,,,,,
ssp,u632a,Western White-cheeked Honeyeater,,,,,,
ssp,u632b,Eastern White-cheeked Honeyeater,,,,,,
sp,631,New Holland Honeyeater,,,,,,
ssp,u631b,Bass Strait New Holland Honeyeater,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u631c,Kangaroo Island New Holland Honeyeater,,,,,,
ssp,u631d,Tasmanian New Holland Honeyeater,,,,,,
ssp,u631e,South-western New Holland Honeyeater,,,,,,
ssp,u631f,Eastern New Holland Honeyeater,,,,,,
