taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
ssp,u35a,Eastern Brush Bronzewing,,,,,,
ssp,u35b,Western Brush Bronzewing,,,,,,
sp,u36,Flock Bronzewing,,,,,,
sp,43,Crested Pigeon,,,,,,
ssp,u43a,Eastern Crested Pigeon,,,,,,
ssp,u43b,Western Crested Pigeon,,,,,,
sp,u31,Diamond Dove,,,,,,
sp,30,Peaceful Dove,,,,,,
ssp,u30a,Pilbara Peaceful Dove,,,,,,
ssp,u30c,Eastern Peaceful Dove,,4a,,,4a,Subspecies lump - allopatric
sp,32,Bar-shouldered Dove,,,,,,
ssp,u32a,Pilbara Bar-shouldered Dove,,,,,,
ssp,u32b,Eastern Bar-shouldered Dove,,,,,,
ssp,u32c,Northern Bar-shouldered Dove,5c,,5c,Non-taxonomic change - taxon_id,,
sp,5065,Grey-capped Emerald-Dove,,,,,,
ssp,u5065,Christmas Island Grey-capped Emerald-Dove,,,,,,
sp,33,Brown-capped Emerald-Dove,,,,,,
ssp,u33a,Eastern Brown-capped Emerald-Dove,,,,,,
ssp,u33b,North-western Brown-capped Emerald-Dove,,,,,,
sp,u805,Christmas Island Imperial-Pigeon,,,,,,
sp,u793,Collared Imperial-Pigeon,,,,,,
sp,u8839,Torresian Imperial-Pigeon,,,,,,
sp,25,Wompoo Fruit-Dove,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u25a,Cape York Wompoo Fruit-Dove,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u25b,Wet Tropics Wompoo Fruit-Dove,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u25c,Southern Wompoo Fruit-Dove,5c,,5c,Non-taxonomic change - taxon_id,,
sp,u24,Black-banded Fruit-Dove,5b,,5b,Non-taxonomic change - common name ,,
sp,u23,Superb Fruit-Dove,1a,,1a,Species split - allopatric,,
sp,21,Rose-crowned Fruit-Dove,,,,,,
ssp,u21a,Western Rose-crowned Fruit-Dove,,,,,,
ssp,u21b,Eastern Rose-crowned Fruit-Dove,,,,,,
sp,737,New Zealand Pigeon,,,,,,
ssp,u737,Norfolk Island New Zealand Pigeon,,,,,,
sp,u27,Topknot Pigeon,,,,,,
sp,314,Marbled Frogmouth,,,,,,
ssp,u314a,Cape York Marbled Frogmouth,,,,,,
ssp,u314b,Plumed Frogmouth,,,,,,
sp,u316,Papuan Frogmouth,4a,,4a,Subspecies lump - allopatric,,
sp,313,Tawny Frogmouth,,,,,,
ssp,u313a,Western Tawny Frogmouth,,,,,,
ssp,u313b,Northern Tawny Frogmouth,,,,,,
ssp,u313c,Eastern Tawny Frogmouth,,,,,,
sp,u331,Spotted Nightjar,,,,,,
sp,u330,White-throated Nightjar,,,,,,
sp,332,Large-tailed Nightjar,,,,,,
ssp,u332,Australasian Large-tailed Nightjar,,,,,,
sp,317,Australian Owlet-nightjar,,,,,,
ssp,u317a,Mainland Australian Owlet-nightjar,,,,,,
ssp,u317b,Tasmanian Australian Owlet-nightjar,,,,,,
sp,334,White-throated Needletail,,,,,,
ssp,u334,Eastern White-throated Needletail,,,,,,
sp,u9925,Christmas Island Swiftlet,,1a,,,1a,Species split - allopatric
sp,333,Australian Swiftlet,,,,,,
ssp,u333a,Chillagoe Australian Swiftlet,,,,,,
